Text,ASR Text,Matched Text,VAC_WER,ASR_WER,Duration,Path
Միջպետական հարաբերություններում կարևոր դեր էին խաղում քաղաքական ամուսնությունները։,Միջպետական հարաբերություններում կարևոր դեր էին խաղում քաղաքական ամուսնությունները։,Միջպետական հարաբերություններում կարևոր դեր էին խաղում քաղաքական ամուսնությունները։,0.0,0.125,7.164,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_31719719.wav
Նա նաև լավ էր գրում մանկական ոտանավորներ։,Նա նաև լավ էր գրում մանկական ոտանավորներ։,Նա նաև լավ էր գրում մանկական ոտանավորներ։,0.0,0.143,3.744,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40085486.wav
Ամենամեծ ջանքերը պահանջեց աղյուսների և կղմինդրների արտադրությունը։,Ամենամեծ ջանքերը պահանջեց աղյուսների և կղմիտների արտադրությունը։,Ամենամեծ ջանքերը պահանջեց աղյուսների և կղմինդրների արտադրությունը։,0.0,0.286,5.76,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39557747.wav
"Եթե մոտակայքում չկան մեղվափեթակներ, ապա բերքատվությունը կնվազի մոտ երեք անգամ։","Եթե մոտակայքում չկան մեղվափեթակներ, ապա բերքաթվությունը կնվազի մոտ երեք անգամ։","Եթե մոտակայքում չկան մեղվափեթակներ, ապա բերքատվությունը կնվազի մոտ երեք անգամ։",0.0,0.1,6.984,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39967579.wav
Դպրոցը հիմնականում պահվել է եկեղեցու եկամուտներով։,Դպրոցը հիմնականում պահվել է եկեղեցու եկամուտներով։,Դպրոցը հիմնականում պահվել է եկեղեցու եկամուտներով։,0.0,0.0,4.104,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40006367.wav
Տեղի կլիման արևադարձային է։,Տեղի կլիման արևադարձային է։,Տեղի կլիման արևադարձային է։,0.0,0.25,4.572,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_31719990.wav
"Ո՜չ, ո՛չ, անկարելի է։",Ոոչ ոչ անկարելի է։,"Ո՜չ, ո՛չ, անկարելի է։",0.0,0.5,3.24,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39545677.wav
"Այդ ժամանակվանից նա զբաղվում է մարզչական գործունեությամբ, մասնավորապես փոքր երեխաների մարզմամբ։","Այդ ժամանակվանից նա զբաղվում է մարզչական գործունեությամբ, մասնավորապես փոքր երեխաների մարզմամբ։","Այդ ժամանակվանից նա զբաղվում է մարզչական գործունեությամբ, մասնավորապես փոքր երեխաների մարզմամբ։",0.0,0.0,6.192,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39978477.wav
"Սնվում է կաթնասուններով, թռչուններով, երկկենցաղներով, սողուններով, միջատներով, ձկներով և լեշով։","Սնվում է կաթնասուններով, թռչուններով, երկկենցաղներով, սողուններով, միջատներով, ձկներով և լեշով։","Սնվում է կաթնասուններով, թռչուններով, երկկենցաղներով, սողուններով, միջատներով, ձկներով և լեշով։",0.0,0.1,8.352,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40086653.wav
Բոլոտովը հանդիսանում էր գրավման ակտիվ մասնակիցներից մեկը։,Բոլոտովը հանդիսանում էր գրավման ակտիվ մասնակիցներից մեկը։,Բոլոտովը հանդիսանում էր գրավման ակտիվ մասնակիցներից մեկը։,0.0,0.0,4.464,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39988881.wav
